Frame Rate:,30.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
69,00:00:02.300,4.671622222222222,5.945222222222222,3.2226,4.847044444444444
70,00:00:02.333,3.9869777777777777,5.253266666666667,2.309311111111111,4.398355555555556
71,00:00:02.367,3.532614814814815,4.343244444444444,2.1478,4.1068
72,00:00:02.400,6.609133333333333,8.206155555555556,4.213488888888889,7.407755555555555
73,00:00:02.433,6.001348148148147,7.0986666666666665,4.958622222222222,5.946755555555556
74,00:00:02.467,6.337125925925926,7.677222222222222,5.363555555555555,5.9706
75,00:00:02.500,6.326844444444444,7.9864444444444445,5.306088888888889,5.688
76,00:00:02.533,5.900725925925926,7.501933333333334,4.883222222222222,5.3170222222222225
77,00:00:02.567,5.149814814814815,6.813977777777778,3.819777777777778,4.8156888888888885
78,00:00:02.600,4.027318518518518,5.436622222222222,2.265711111111111,4.379622222222222
79,00:00:02.633,3.5472888888888883,4.827133333333333,1.8154666666666666,3.9992666666666667
80,00:00:02.667,4.853251851851852,6.3722,3.4930222222222223,4.694533333333333
81,00:00:02.700,5.5970814814814815,7.228377777777777,4.462488888888889,5.100377777777778
82,00:00:02.733,5.838125925925926,7.266688888888889,4.917488888888889,5.3302
83,00:00:02.767,5.749466666666667,7.035466666666666,4.870444444444445,5.342488888888889
84,00:00:02.800,7.2548,8.57911111111111,5.239822222222222,7.9454666666666665
85,00:00:02.833,5.548562962962962,6.191466666666667,4.523777777777778,5.930444444444444
86,00:00:02.867,12.565525925925925,14.228266666666666,11.7476,11.720711111111111
87,00:00:02.900,4.947822222222222,6.456,2.776666666666667,5.6108
88,00:00:02.933,3.841622222222222,5.1273333333333335,1.7591777777777777,4.638355555555555
89,00:00:02.967,4.4935777777777774,6.017066666666667,2.5073777777777777,4.9562888888888885
90,00:00:03.000,5.080318518518518,6.790155555555556,3.127711111111111,5.323088888888889
91,00:00:03.033,5.412177777777778,6.955044444444445,3.5891333333333333,5.692355555555555
92,00:00:03.067,5.501037037037037,7.186222222222222,3.6975777777777776,5.619311111111111
93,00:00:03.100,5.422859259259259,6.905777777777778,3.659711111111111,5.703088888888889
94,00:00:03.133,5.2654,6.702933333333333,3.466311111111111,5.626955555555556
95,00:00:03.167,4.82877037037037,6.0395111111111115,3.118777777777778,5.328022222222223
96,00:00:03.200,6.136244444444444,7.572622222222222,3.0333555555555556,7.802755555555556
97,00:00:03.233,3.8355777777777775,4.776133333333333,1.8789333333333333,4.851666666666667
98,00:00:03.267,2.914074074074074,3.606888888888889,1.2485555555555556,3.8867777777777777
99,00:00:03.300,2.8983925925925926,3.6734444444444443,1.2197333333333333,3.802
100,00:00:03.333,3.2159629629629634,4.252888888888889,1.4668444444444444,3.9281555555555556
101,00:00:03.367,3.5921925925925926,4.706133333333334,1.8255333333333332,4.2449111111111115
102,00:00:03.400,3.832088888888889,4.9169777777777774,2.0576222222222222,4.5216666666666665
103,00:00:03.433,4.168296296296297,5.199688888888889,2.2656222222222224,5.039577777777778
104,00:00:03.467,3.975481481481482,5.054022222222223,2.1826222222222222,4.6898
105,00:00:03.500,3.9272444444444443,4.953288888888889,2.0884,4.740044444444444
106,00:00:03.533,3.66237037037037,4.6992666666666665,1.8480444444444444,4.4398
107,00:00:03.567,3.0431925925925927,3.881422222222222,1.3415555555555556,3.9066
108,00:00:03.600,4.668985185185185,5.889377777777778,1.4400222222222223,6.677555555555555
109,00:00:03.633,2.6462,2.9872444444444444,1.0593777777777778,3.891977777777778
110,00:00:03.667,3.0925851851851847,3.8702888888888887,1.5123555555555555,3.895111111111111
111,00:00:03.700,3.755266666666666,5.025444444444444,2.0004,4.2399555555555555
112,00:00:03.733,3.8308814814814816,4.960666666666667,2.233488888888889,4.298488888888889
113,00:00:03.767,3.9972666666666665,5.310133333333333,2.2730888888888887,4.4085777777777775
114,00:00:03.800,3.8973925925925923,5.076311111111111,2.267577777777778,4.348288888888889
115,00:00:03.833,4.1308,5.411666666666667,2.3274666666666666,4.653266666666667
116,00:00:03.867,4.137237037037037,5.484111111111111,2.4656,4.462
117,00:00:03.900,4.230696296296297,5.498511111111111,2.6632,4.530377777777778
118,00:00:03.933,4.675999999999999,6.113333333333333,3.045688888888889,4.868977777777777
